,0.0,1.5789473684210527,3.1578947368421053,4.7368421052631575,6.315789473684211,7.894736842105264,9.473684210526315,11.052631578947368,12.631578947368421,14.210526315789474,15.789473684210527,17.36842105263158,18.94736842105263,20.526315789473685,22.105263157894736,23.68421052631579,25.263157894736842,26.842105263157894,28.42105263157895,30.0
glc,0.09675,17.678085,24.803228,29.661802,33.226902,35.95769,38.13819,39.93049,41.42923,42.69499,43.770203,44.6869,45.470287,46.140804,46.71562,47.20888,47.632072,47.992954,48.2996,48.553722
g1p,0.1,0.16114478,0.25775743,0.36620256,0.4258939,0.44308323,0.4467122,0.4470291,0.44677004,0.4465424,0.4464118,0.44634655,0.44631624,0.44630307,0.44629717,0.4462944,0.44629383,0.44629443,0.44629493,0.44629517
g6p,2.675,3.7933784,3.2581108,2.9232054,2.7678149,2.7085238,2.6876516,2.6806133,2.678311,2.6775672,2.6773298,2.6772559,2.6772344,2.6772296,2.6772282,2.677228,2.6772296,2.6772304,2.6772306,2.677231
trh,0.05,0.05670239,0.04365811,0.027464883,0.013183343,0.005419322,0.0020809646,0.0007750676,0.00028649194,0.00010565709,3.8869584e-05,1.4134016e-05,5.042618e-06,1.8408374e-06,2.4293453e-07,-6.1365895e-08,-1.1076421e-07,-1.7379694e-08,7.1642894e-08,1.409155e-07
t6p,0.02,0.02214422,0.016640415,0.010027638,0.0046402337,0.0018762131,0.0007147383,0.00026541486,9.803093e-05,3.614505e-05,1.3283905e-05,4.841371e-06,1.7125984e-06,6.1179543e-07,7.2798066e-08,-3.619924e-08,-3.670674e-08,-1.7802141e-09,2.7334368e-08,4.1440604e-08
udg,0.7,0.5857501,0.42579013,0.23186693,0.09743995,0.037521053,0.013998279,0.005155761,0.0018978016,0.000699105,0.00025709937,9.294942e-05,3.2890497e-05,1.2016455e-05,3.059707e-06,-1.2197464e-06,-8.9320724e-07,-1.132887e-07,3.0500212e-07,3.3070214e-07
adp,1.282,3.80659,3.8067496,3.8068123,3.8068414,3.8068566,3.806866,3.8068721,3.806877,3.8068807,3.8068836,3.806886,3.8068879,3.8068895,3.806891,3.8068922,3.806893,3.8068938,3.8068945,3.806895
atp,2.525,0.00041004544,0.00025056905,0.00018782112,0.0001586704,0.00014344208,0.00013418158,0.00012781062,0.00012307237,0.00011939091,0.000116444746,0.00011405034,0.00011208276,0.00011045233,0.00010909166,0.000107951,0.00010699101,0.000106185435,0.00010550941,0.00010495806
ppi,0.0,0.358725,0.5785091,0.6451016,0.6490936,0.6490997,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491,0.6491
f6p,0.625,1.138367,0.9776532,0.877068,0.8303854,0.81257135,0.8063004,0.8041856,0.8034936,0.8032702,0.80319905,0.8031765,0.8031702,0.80316895,0.8031687,0.80316854,0.80316883,0.80316913,0.80316925,0.80316925
h,0.0,2.63884,2.7989593,2.9929452,3.1274014,3.1873355,3.2108676,3.2197165,3.222979,3.2241817,3.2246265,3.224793,3.2248552,3.2248776,3.2248878,3.2248933,3.224894,3.224894,3.2248943,3.2248948
pho,0.0,0.47083068,0.85607857,1.1232071,1.2670134,1.3297025,1.3543869,1.3636788,1.3671042,1.3683647,1.3688296,1.3690022,1.3690654,1.3690873,1.3690969,1.3691013,1.3691009,1.3691001,1.3690996,1.3690996
udp,0.2815,0.75447494,1.1342189,1.3947347,1.5331537,1.5930787,1.6166017,1.6254443,1.6287022,1.6299009,1.6303428,1.6305071,1.6305671,1.6305879,1.630597,1.6306012,1.6306009,1.6306001,1.6305997,1.6305996
utp,0.6491,0.290375,0.07059091,0.003998385,6.394209e-06,2.7071349e-07,-3.8673127e-09,-1.5166247e-09,2.565171e-09,-5.160788e-10,2.6526129e-11,-5.5873994e-09,-1.334426e-09,3.131239e-10,-5.610748e-09,-4.6835003e-09,2.6703e-10,7.2687534e-10,8.509475e-10,2.306855e-10
h2o,0.0,-0.93495893,-1.718499,-2.2689493,-2.5708435,-2.7039855,-2.756693,-2.7765825,-2.7839217,-2.7866237,-2.7876203,-2.7879903,-2.7881258,-2.7881727,-2.7881935,-2.7882025,-2.7882018,-2.7882001,-2.7881992,-2.788199
glx,100.0,80.822334,74.493614,70.20162,66.95267,64.36277,62.238304,60.467194,58.976276,57.7134,56.639248,55.72294,54.939693,54.269226,53.694435,53.20118,52.777985,52.417103,52.11046,51.85633
