,Rim11,pUme6,pSok2,Ime1,pIme1,Ime2
0.0,0.0,0.0,0.999999999999971,0.0,0.0,0.0
2.7777777777777777,0.23935094544429836,0.09857750485544195,0.1571495343666342,0.3079123218954748,0.07664647461700255,0.013318798212361035
5.555555555555555,0.4156846619216367,0.3115052025398531,0.062488603165832844,0.5890847844567748,0.3758622421041673,0.2791061886115885
8.333333333333332,0.5455912155375185,0.5302441154088455,0.07089070178685382,0.2851683429598543,0.427728037419505,0.8921774051847714
11.11111111111111,0.6412956055558736,0.7004548844471384,0.22311484827761088,0.07921588487855866,0.1134348102111957,0.24121800808518679
13.88888888888889,0.7118024807394233,0.8136092440569437,0.19152334002235655,0.09295201509310821,0.13573057002322345,0.31484200682518454
16.666666666666664,0.7637466584465574,0.8816724494463128,0.21763258029314442,0.0724112021836811,0.11521774926202488,0.2943091906247743
19.444444444444443,0.8020138608439275,0.9200216690195892,0.2286310559126767,0.06639747268656364,0.10833647724900117,0.28556262154078904
22.22222222222222,0.8302097521705455,0.9407743465434565,0.23610100031406353,0.0622501533330578,0.10438000350931373,0.2806347178706918
25.0,0.8509745622215747,0.9517129633621397,0.24068458738527543,0.05980761634689371,0.10234225229936804,0.27781831533115675
