,glc,g1p,g6p,trh,t6p,udg
0.0,0.09765,0.1,2.675,0.05,0.02,0.7
1.1111111111111112,0.09762643921986872,0.0999956169589636,2.6749010880588724,0.0499972434446416,0.019998942542188473,0.7000336647291365
2.2222222222222223,0.0976269199245405,0.09999809025558917,2.6749009143423637,0.04999812150857851,0.019999287455457107,0.7000539562543229
3.3333333333333335,0.09762726700928911,0.1000000755266512,2.6749007909045375,0.049998765908956286,0.01999953637525367,0.7000686388592713
4.444444444444445,0.0976275192355198,0.10000153470544798,2.674900701508494,0.049999235902059166,0.019999717240168906,0.7000792977746334
5.555555555555555,0.09762770409779971,0.10000260036023909,2.6749006358719547,0.04999957956196671,0.01999984981208639,0.7000871155955319
6.666666666666667,0.09762784048245596,0.10000338657334801,2.6749005874493736,0.04999983315928151,0.01999994761807504,0.7000928831623415
7.777777777777779,0.09762793848218533,0.10000395231701582,2.6749005526763243,0.05000001555513385,0.020000017894503987,0.7000970265210565
8.88888888888889,0.09762800786922611,0.10000435324516715,2.674900528065362,0.05000014477303405,0.020000067651453977,0.7000999597137668
10.0,0.09762805841581665,0.1000046450117266,2.6749005101290426,0.05000023883649241,0.020000103899005774,0.7001020967825624
