,php,pser
0.0,0.6,0.09
1.1111111111111112,0.42481690057836247,0.047056942724026614
2.2222222222222223,0.25081828588115096,0.0395734603311522
3.3333333333333335,0.09050748024950409,0.03283033232424058
4.444444444444445,8.972690434204919e-05,0.005209097201846546
5.555555555555555,2.8686979142548146e-06,4.8210521869283994e-05
6.666666666666667,2.8646999106185303e-06,4.5925261544687165e-05
7.777777777777779,2.8646999332880153e-06,4.5925274889853635e-05
8.88888888888889,2.8646999870539873e-06,4.5925305659731255e-05
10.0,2.864700068955113e-06,4.592535248544618e-05
